Running tool: /usr/bin/go test -benchmem -run=^$ -coverprofile=/tmp/vscode-goXHUl02/go-code-cover -bench . github.com/database64128/cubic-go-playground/logging

goos: linux
goarch: amd64
pkg: github.com/database64128/cubic-go-playground/logging
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkZerolog/Debug/FieldsString-32                          	 6172617	       209.4 ns/op	     144 B/op	       3 allocs/op
BenchmarkZerolog/Debug/FieldsStringer-32                        	32576158	        48.75 ns/op	      56 B/op	       2 allocs/op
BenchmarkZerolog/Debug/FieldsStringerp-32                       	529979038	         2.267 ns/op	       0 B/op	       0 allocs/op
BenchmarkZerologPretty/Info-32                                  	  597248	      3349 ns/op	    1671 B/op	      31 allocs/op
BenchmarkZerologPretty/Info/FieldsString-32                     	  259566	      4537 ns/op	    2273 B/op	      54 allocs/op
BenchmarkZerologPretty/Info/FieldsStringer-32                   	  268614	      4891 ns/op	    2330 B/op	      56 allocs/op
BenchmarkZerologPretty/Info/FieldsStringerp-32                  	  216009	      4834 ns/op	    2273 B/op	      54 allocs/op
BenchmarkZerologPretty/Debug-32                                 	992332519	         1.157 ns/op	       0 B/op	       0 allocs/op
BenchmarkZerologPretty/Debug/FieldsString-32                    	 8848370	       224.6 ns/op	     144 B/op	       3 allocs/op
BenchmarkZerologPretty/Debug/FieldsStringer-32                  	26735167	        42.39 ns/op	      56 B/op	       2 allocs/op
BenchmarkZerologPretty/Debug/FieldsStringerp-32                 	523144407	         2.263 ns/op	       0 B/op	       0 allocs/op
PASS
coverage: 75.0% of statements
ok  	github.com/database64128/cubic-go-playground/logging	230.367s
